Date,Zone_No,Zone_Name,Confirmed_cases,Recovered,Hospitalized,Deceased
 2020-04-27,I,THIRUVOTTIYUR,15,4,11,0
 2020-04-27,II,MANALI,1,0,1,0
 2020-04-27,III,MADHAVARAM,3,3,0,0
 2020-04-27,IV,TONDIARPET,66,15,50,1
 2020-04-27,V,ROYAPURAM,158,43,110,5
 2020-04-27,VI,THIRU VI KA NAGAR,94,26,65,3
 2020-04-27,VII,AMBATTUR,15,0,15,0
 2020-04-27,VIII,ANNA NAGAR,53,18,32,3
 2020-04-27,IX,TEYNAMPET,56,20,36,0
 2020-04-27,X,KODAMBAKKAM,54,19,35,0
 2020-04-27,XI,VALASARAVAKKAM,17,6,11,0
 2020-04-27,XII,ALANDUR,9,4,5,0
 2020-04-27,XIII,ADYAR,17,6,11,0
 2020-04-27,XIV,PERUNGUDI,9,7,1,0
 2020-04-27,XV,SOZHINGANALLUR,2,2,0,0
 2020-04-28,I,THIRUVOTTIYUR,15,4,11,0
 2020-04-28,II,MANALI,1,0,1,0
 2020-04-28,III,MADHAVARAM,4,3,1,0
 2020-04-28,IV,TONDIARPET,70,19,50,1
 2020-04-28,V,ROYAPURAM,164,61,98,5
 2020-04-28,VI,THIRU VI KA NAGAR,128,28,97,3
 2020-04-28,VII,AMBATTUR,19,0,19,0
 2020-04-28,VIII,ANNA NAGAR,65,19,42,4
 2020-04-28,IX,TEYNAMPET,81,24,57,0
 2020-04-28,X,KODAMBAKKAM,60,20,40,0
 2020-04-28,XI,VALASARAVAKKAM,26,6,20,0
 2020-04-28,XII,ALANDUR,9,5,4,0
 2020-04-28,XIII,ADYAR,19,6,13,0
 2020-04-28,XIV,PERUNGUDI,9,7,2,0
 2020-04-28,XV,SOZHINGANALLUR,2,2,0,0
 2020-04-29,I,THIRUVOTTIYUR,16,4,12,0
 2020-04-29,II,MANALI,1,0,1,0
 2020-04-29,III,MADHAVARAM,4,3,1,0
 2020-04-29,IV,TONDIARPET,77,21,55,1
 2020-04-29,V,ROYAPURAM,189,64,119,6
 2020-04-29,VI,THIRU VI KA NAGAR,169,31,135,3
 2020-04-29,VII,AMBATTUR,20,0,20,0
 2020-04-29,VIII,ANNA NAGAR,73,19,50,4
 2020-04-29,IX,TEYNAMPET,85,24,61,0
 2020-04-29,X,KODAMBAKKAM,63,21,42,0
 2020-04-29,XI,VALASARAVAKKAM,30,6,23,1
 2020-04-29,XII,ALANDUR,9,6,3,0
 2020-04-29,XIII,ADYAR,19,7,12,0
 2020-04-29,XIV,PERUNGUDI,9,7,2,0
 2020-04-29,XV,SOZHINGANALLUR,2,2,0,0
 2020-04-30,I,THIRUVOTTIYUR,16,4,12,0
 2020-04-30,II,MANALI,2,0,2,0
 2020-04-30,III,MADHAVARAM,4,3,1,0
 2020-04-30,IV,TONDIARPET,77,21,55,1
 2020-04-30,V,ROYAPURAM,199,65,128,6
 2020-04-30,VI,THIRU VI KA NAGAR,210,31,176,3
 2020-04-30,VII,AMBATTUR,27,0,27,0
 2020-04-30,VIII,ANNA NAGAR,86,19,63,4
 2020-04-30,IX,TEYNAMPET,105,24,81,0
 2020-04-30,X,KODAMBAKKAM,97,21,76,0
 2020-04-30,XI,VALASARAVAKKAM,40,6,33,1
 2020-04-30,XII,ALANDUR,9,6,3,0
 2020-04-30,XIII,ADYAR,20,7,13,0
 2020-04-30,XIV,PERUNGUDI,9,7,2,0
 2020-04-30,XV,SOZHINGANALLUR,3,2,1,0
 2020-05-01,I,THIRUVOTTIYUR,19,4,15,0
 2020-05-01,II,MANALI,3,0,3,0
 2020-05-01,III,MADHAVARAM,4,3,1,0
 2020-05-01,IV,TONDIARPET,101,22,78,1
 2020-05-01,V,ROYAPURAM,216,65,145,6
 2020-05-01,VI,THIRU VI KA NAGAR,259,32,224,3
 2020-05-01,VII,AMBATTUR,33,0,33,0
 2020-05-01,VIII,ANNA NAGAR,91,19,68,4
 2020-05-01,IX,TEYNAMPET,132,24,108,0
 2020-05-01,X,KODAMBAKKAM,116,21,94,1
 2020-05-01,XI,VALASARAVAKKAM,60,7,52,1
 2020-05-01,XII,ALANDUR,9,6,3,0
 2020-05-01,XIII,ADYAR,21,7,14,0
 2020-05-01,XIV,PERUNGUDI,9,7,2,0
 2020-05-01,XV,SOZHINGANALLUR,3,2,1,0
 2020-05-02,I,THIRUVOTTIYUR,20,5,15,0
 2020-05-02,II,MANALI,5,0,5,0
 2020-05-02,III,MADHAVARAM,8,3,5,0
 2020-05-02,IV,TONDIARPET,110,23,86,1
 2020-05-02,V,ROYAPURAM,252,68,177,7
 2020-05-02,VI,THIRU VI KA NAGAR,290,34,253,3
 2020-05-02,VII,AMBATTUR,42,0,42,0
 2020-05-02,VIII,ANNA NAGAR,108,19,85,4
 2020-05-02,IX,TEYNAMPET,145,24,121,0
 2020-05-02,X,KODAMBAKKAM,141,21,119,1
 2020-05-02,XI,VALASARAVAKKAM,77,7,69,1
 2020-05-02,XII,ALANDUR,10,6,4,0
 2020-05-02,XIII,ADYAR,27,7,20,0
 2020-05-02,XIV,PERUNGUDI,10,7,3,0
 2020-05-02,XV,SOZHINGANALLUR,5,2,3,0
 2020-05-03,I,THIRUVOTTIYUR,22,5,17,0
 2020-05-03,II,MANALI,5,0,5,0
 2020-05-03,III,MADHAVARAM,9,3,6,0
 2020-05-03,IV,TONDIARPET,118,23,94,1
 2020-05-03,V,ROYAPURAM,275,68,200,7
 2020-05-03,VI,THIRU VI KA NAGAR,324,34,287,3
 2020-05-03,VII,AMBATTUR,58,0,58,0
 2020-05-03,VIII,ANNA NAGAR,130,19,107,4
 2020-05-03,IX,TEYNAMPET,166,24,142,0
 2020-05-03,X,KODAMBAKKAM,199,21,177,1
 2020-05-03,XI,VALASARAVAKKAM,92,7,84,1
 2020-05-03,XII,ALANDUR,10,6,4,0
 2020-05-03,XIII,ADYAR,29,7,22,0
 2020-05-03,XIV,PERUNGUDI,10,7,3,0
 2020-05-03,XV,SOZHINGANALLUR,6,2,4,0
 2020-05-04,I,THIRUVOTTIYUR,29,9,20,0
 2020-05-04,II,MANALI,10,0,10,0
 2020-05-04,III,MADHAVARAM,24,3,21,0
 2020-05-04,IV,TONDIARPET,136,33,102,1
 2020-05-04,V,ROYAPURAM,299,78,213,8
 2020-05-04,VI,THIRU VI KA NAGAR,357,40,314,3
 2020-05-04,VII,AMBATTUR,67,0,67,0
 2020-05-04,VIII,ANNA NAGAR,144,22,118,4
 2020-05-04,IX,TEYNAMPET,206,26,180,0
 2020-05-04,X,KODAMBAKKAM,257,24,232,1
 2020-05-04,XI,VALASARAVAKKAM,114,7,106,1
 2020-05-04,XII,ALANDUR,10,6,4,0
 2020-05-04,XIII,ADYAR,44,7,37,0
 2020-05-04,XIV,PERUNGUDI,12,7,5,0
 2020-05-04,XV,SOZHINGANALLUR,10,2,8,0
 2020-05-05,I,THIRUVOTTIYUR,32,9,23,0
 2020-05-05,II,MANALI,13,1,12,0
 2020-05-05,III,MADHAVARAM,27,3,24,0
 2020-05-05,IV,TONDIARPET,149,37,111,1
 2020-05-05,V,ROYAPURAM,321,92,221,8
 2020-05-05,VI,THIRU VI KA NAGAR,395,51,341,3
 2020-05-05,VII,AMBATTUR,98,1,97,0
 2020-05-05,VIII,ANNA NAGAR,169,30,134,5
 2020-05-05,IX,TEYNAMPET,230,39,191,0
 2020-05-05,X,KODAMBAKKAM,327,31,294,2
 2020-05-05,XI,VALASARAVAKKAM,146,8,137,1
 2020-05-05,XII,ALANDUR,11,8,3,0
 2020-05-05,XIII,ADYAR,53,8,45,0
 2020-05-05,XIV,PERUNGUDI,15,7,8,0
 2020-05-05,XV,SOZHINGANALLUR,13,2,11,0
 2020-05-06,I,THIRUVOTTIYUR,40,9,31,0
 2020-05-06,II,MANALI,13,1,12,0
 2020-05-06,III,MADHAVARAM,30,3,27,0
 2020-05-06,IV,TONDIARPET,168,41,126,1
 2020-05-06,V,ROYAPURAM,375,98,269,8
